회사명,종목코드,이벤트시작일,시장,match_status,기사수,키워드종류,대표제목,baseline_stock,baseline_index,price_30d,return_30d,excess_30d,price_60d,return_60d,excess_60d,price_90d,return_90d,excess_90d,price_180d,return_180d,excess_180d,price_365d,return_365d,excess_365d,min_price_1y,min_return_1y,min_days_1y,min_excess_1y,max_price_1y,max_return_1y,max_days_1y,max_excess_1y,상장폐지일,상장폐지사유,is_bankrupt_delist
두산,000150,2016-07-08,KOSPI,current_exact,3,구조조정,"두산, 구조조정 마무리 수순 ‘4세 경영’ 안착 과제로",77043.21666666666,1980.6945000000003,87045.0,0.1298204276257937,0.10436193314317688,90983.0,0.1809345966646858,0.13759853449053439,83500.0,0.08380729170835521,0.04109222383695976,81925.0,0.06336422003840703,0.030574963542768785,95316.0,0.2371757582811207,0.03451679194380852,73575.0,-0.045016509132428384,250.0,-0.12191150732624356,99255.0,0.2883029070480574,341.0,0.09042004323438024,,,False
두산,000150,2016-08-29,KOSPI,current_exact,1,구조조정,"두산, 구조조정 효과로 실적 개선 기대-하이투자",81272.01666666666,2004.7789999999998,80349.0,-0.011357127637823594,-0.03544008141976185,81137.0,-0.0016612934218235287,-0.008964342785369506,85863.0,0.05648910315789313,0.06978184016281974,79561.0,-0.02105296185382377,-0.061327226498455456,102406.0,0.26004009990318533,0.08048863812111362,73575.0,-0.09470684969262688,198.0,-0.15866452283265886,105163.0,0.29396321530104363,346.0,0.11704047219569391,,,False
두산,000150,2017-02-16,KOSPI,current_exact,1,구조조정,"두산, 영업이익 7911억원 '흑자전환'..계열사 구조조정 효과",85305.21666666666,2038.8916666666667,76017.0,-0.10888216488518765,-0.16681478350559842,74756.0,-0.12366437925933793,-0.17607929422539392,82318.0,-0.03501798346447349,-0.159687840862488,100436.0,0.17737230997791675,0.02563872923347632,83500.0,-0.021161855478553093,-0.21927357467239617,73575.0,-0.13750878463274907,27.0,-0.18366539749839916,114222.0,0.338980246030284,242.0,0.12260860620962966,,,False
두산,000150,2018-08-06,KOSPI,current_exact,1,구조조정,"두산, 구조조정 성과 연료전지 굴삭기 기대",83146.8,2365.6023333333337,95710.0,0.15109661466225988,0.18230741129235017,103981.0,0.2505712787503547,0.2920331643560927,95316.0,0.1463580077645803,0.26839133909231694,89014.0,0.0705643512438241,0.1391229297707589,74441.0,-0.10470396936502668,0.08472023225127778,71920.0,-0.1350238373575412,234.0,-0.03462558783490355,112646.0,0.3547845497361293,43.0,0.37872024363339896,,,False
두산,000150,2020-02-20,KOSPI,current_exact,1,구조조정,두산중공업 대규모 구조조정 소식에 도내 대기업 협력업체 동요,67300.0,2174.4958333333334,27050.0,-0.5980683506686478,-0.279817185168599,38650.0,-0.4257057949479941,-0.2987173550989103,36900.0,-0.4517087667161961,-0.36669787338651627,43950.0,-0.34695393759286774,-0.4268548341608459,50400.0,-0.2511144130757801,-0.6802364892658548,26050.0,-0.6129271916790491,28.0,-0.2832618861197145,60300.0,-0.10401188707280828,0.0,-0.1136712142348516,,,False
두산,000150,2020-07-09,KOSPI,current_exact,1,구조조정,"두산, 자구안 3조 중 2조 마련 인프라 매각으로 마침표 찍나 [기업 구조조정 속도내나]",39420.0,2030.0714999999998,44300.0,0.12379502790461694,-0.05172021872585897,57400.0,0.45611364789446984,0.2816624031969308,45650.0,0.1580416032470826,-0.017749495736377074,52400.0,0.3292744799594114,-0.1438608258660241,100500.0,1.5494672754946728,0.9643260624881358,36300.0,-0.0791476407914764,1.0,-0.13834678722548133,104500.0,1.6509386098427195,363.0,1.0326015217155275,,,False
두산,000150,2020-09-07,KOSPI,current_exact,2,구조조정,"두산, 구조조정 마무리단계 리스크 해소구간 진입-대신",42321.666666666664,2242.7946666666667,45650.0,0.07864372071043202,0.014373310460362942,46750.0,0.10463513566730986,0.027184740446109634,51600.0,0.2192336470680898,-0.004881980101822059,47900.0,0.13180797857677318,-0.2040744561950829,93200.0,1.2021817036191078,0.7809994405378091,44400.0,0.049108021895798215,18.0,0.03305870009728018,115000.0,1.7172842909463237,311.0,1.2520498453498774,,,False
두산,000150,2020-12-11,KOSPI,current_exact,1,구조조정,"두산, 9개월 만에 '3조 마련 완료' 모범적 구조조정 뒤엔 씁쓸함도 남았다",48815.833333333336,2457.353,50700.0,0.03859744959797884,-0.2426389051300557,52200.0,0.06932518479318528,-0.18595641292598653,49600.0,0.016063777121493983,-0.21033715103168538,97500.0,0.9973027876884206,0.6885042552838374,115500.0,1.3660356100308984,1.1445342628496022,46650.0,-0.04436743542907873,77.0,-0.27046315712636837,145500.0,1.9805903139350276,341.0,1.7750573685258821,,,False
두산,000150,2021-04-30,KOSPI,current_exact,2,구조조정,"두산, 혹독한 구조조정 딛고 재기 더 굳어진 ‘박정원 체제’",50622.5,3096.7528333333335,87400.0,0.7265050125932144,0.6918987096577256,95000.0,0.876635883253494,0.815304812648731,98500.0,0.9457751000049386,0.8986621483039714,108500.0,1.14331571929478,1.166327834619666,87700.0,0.7324312311719097,0.8646028494320476,62700.0,0.23857968294730614,4.0,0.22223444346877064,145500.0,1.8742160106671935,201.0,1.9175946206380572,,,False
두산,000150,2021-06-25,KOSPI,current_exact,1,구조조정,"두산, 구조조정 '마지막 단추' 지게차 분할 승인 재무개선 '청신호'",71089.16666666667,3190.3508333333343,99600.0,0.40105735754392957,0.3902124165094931,90700.0,0.2758624731850843,0.29217755452018324,100500.0,0.413717514389206,0.4333927277474028,118000.0,0.6598872308251373,0.7244164453498725,68200.0,-0.04064144794682745,0.2064883739823702,61400.0,-0.13629596633336072,363.0,0.13829165085921047,145500.0,1.0467253566530297,145.0,1.1181691712178337,,,False
두산,000150,2021-12-06,KOSPI,current_exact,5,구조조정,"두산, 구조조정 불확실성 해소 기대..6% 강세",108653.33333333333,3015.731833333333,123000.0,0.13204074119523868,0.15252062360741814,100500.0,-0.07503988219413416,0.012989109773597463,120000.0,0.1044299914099891,0.22527025621912233,83600.0,-0.23058043931770766,-0.10146026058386703,85100.0,-0.21677506442508276,-0.010333687094395083,61400.0,-0.43489998772855565,199.0,-0.20231570235525975,127500.0,0.17345686587311326,98.0,0.2961739553844429,,,False
두산건설,011160,2016-04-19,KOSPI,delisted_exact,2,구조조정,"두산건설, 지난해 구조조정 1Q 실적에 긍정적-키움증권",3755.55,1940.9175,4664.0,0.2418953282475269,0.23887484953063143,5035.0,0.34068245663085284,0.31996931452151545,5308.0,0.41337487185631927,0.3720580719408155,3915.0,0.04245716339817074,-0.002208568143741818,3379.0,-0.10026494122032725,-0.2020119242837496,3120.0,-0.16922954028038506,358.0,-0.26608708316925067,5775.0,0.5377241682310181,1.0,0.5042799337388257,2020-03-24,지주회사(최대주주등)의 완전자회사화 등,False
