회사명,이벤트시작일,이벤트종료일(마지막보도),기사수,언론사수,키워드종류,대표제목
비에이치,2022-02-03,2022-02-03,1,1,구조조정,"[리포트 브리핑]비에이치, '산업 구조조정의 수혜' 목표가 28,000원 - 하이투자증권"
비트나인,2024-11-01,2024-11-01,1,1,구조조정,"비트나인, 주주배정 유상증자 및 대대적 구조조정 단행"
빅테크,2023-03-21,2023-03-21,1,1,구조조정,"빅테크, 2차 구조조정 시작되나 아마존 9000명 추가 해고"
빗썸,2019-01-16,2019-01-19,5,5,희망퇴직,"빗썸, 첫 희망퇴직 약 30명 짐싸"
빙그레,2026-01-14,2026-01-14,1,1,희망퇴직,"[단독]빙그레, 전 직원 대상 희망퇴직 단행 합병과는 관계 '無'"
사립대-정부,2011-11-02,2011-11-02,1,1,구조조정,"사립대-정부, 대학 구조조정 놓고 `정면충돌`"
사모펀드,2016-04-27,2016-04-27,1,1,구조조정,"사모펀드, 기업 구조조정 ‘해결사’로 뜬다"
사조그룹,2012-10-08,2012-10-08,1,1,구조조정,"사조그룹, 골프장사업 구조조정"
사조그룹,2016-02-25,2016-02-25,1,1,구조조정,"사조그룹, 동아원그룹 인수 마무리 ""뼈를 깎는 쇄신과 구조조정 나설 것"""
사측,2018-04-18,2018-04-18,1,1,희망퇴직,"[한국GM D-2]사측, 군산공장 직원 추가 희망퇴직 등 제안"
사피온,2024-08-07,2024-08-07,1,1,구조조정,"[단독] 사피온, 리벨리온과 합병 전 CTO와 미국 인력 등 구조조정"
산은vs동부,2014-10-05,2014-10-05,1,1,구조조정,"산은vs동부, 구조조정 삐끗거릴 때마다 진실공방"
산은금융,2010-04-01,2010-04-01,1,1,구조조정,“선제적 구조조정 프로그램 준비할 것”産銀 56돌 민유성 산은금융 회장 기념사서 밝혀
삼강엠앤티,2012-02-24,2012-02-24,1,1,구조조정,"삼강엠앤티, 경쟁사 구조조정에 수혜...매수-현대證"
삼보컴퓨터,2012-07-17,2012-07-18,2,2,구조조정,"삼보컴퓨터, 인력 40% 구조조정"
삼성,2010-04-28,2010-04-28,1,1,구조조정,"삼성, 마운드 긴급 구조조정 '위기 벗어날까'"
삼성,2010-11-08,2010-11-09,4,3,희망퇴직,"삼성, 증권 등 금융계열사 희망퇴직 실시"
삼성,2013-03-13,2013-03-13,1,1,구조조정,"삼성, ""인위적 구조조정 없다..채용 예년수준"""
삼성,2014-04-11,2014-05-08,2,2,"구조조정,인력감축","삼성, 독해진 금융계열사 구조조정"
삼성,2014-11-26,2014-11-28,3,3,구조조정,"삼성, 화학 방산 매각으로 사업 구조조정 가속도 방위산업은 완전히 발 빼"
삼성,2015-03-04,2015-03-18,5,4,구조조정,"삼성, 계열사별로 구조조정 진행 중"
삼성,2015-09-24,2015-09-24,1,1,구조조정,"삼성, 위기에 선제대응 계열사별 구조조정 방법은?"
삼성,2015-12-10,2015-12-10,1,1,구조조정,"삼성, 구조조정 와중에도 이웃사랑 성금 500억 쾌척"
삼성,2024-10-02,2024-10-02,1,1,구조조정,"삼성, 해외자회사에서 구조조정 실시 ""약 10% 해고"""
삼성D,2017-04-25,2017-04-25,1,1,구조조정,"삼성D, LCD 구조조정 속 UHD 확산 속도"
삼성SDI,2010-08-02,2010-08-02,1,1,희망퇴직,"삼성SDI, 장기근속자 대상 희망퇴직 실시"
삼성SDI,2014-07-23,2014-07-24,12,12,"구조조정,희망퇴직","삼성SDI, 근속 20년 이상 직원 희망퇴직 실시"
삼성SDI,2015-01-27,2015-01-27,1,1,구조조정,"삼성SDI, PDP 태양광 구조조정 통한 실적 개선 기대-교보證"
삼성SDI,2016-03-06,2016-03-09,3,3,"구조조정,인력감축","삼성SDI, 인력 구조조정 돌입 “주력 배터리 사업은 충원 계획”"
삼성SDI,2016-10-27,2016-10-27,1,1,구조조정,"[컨콜] 삼성SDI, ""추가적인 인력 구조조정 없을 것"""
삼성SDS,2016-11-25,2016-11-25,1,1,구조조정,"삼성SDS, 연말 구조조정 괴담"
삼성거제호텔,2016-06-10,2016-06-10,1,1,구조조정,"산업은행, 구조조정 시작 전에 삼성중공업 소유 삼성거제호텔 담보 설정"
삼성건설,2010-06-08,2010-06-08,1,1,구조조정,"삼성건설, 대대적 구조조정 나서"
삼성그룹,2010-11-09,2010-11-09,1,1,희망퇴직,"삼성그룹, 일부 금융계열사 희망퇴직 실시"
삼성그룹,2014-08-08,2014-08-11,2,2,구조조정,"삼성그룹, 구조조정 통해 '위기 돌파'"
삼성디스플레이,2017-03-22,2017-03-22,1,1,구조조정,"삼성디스플레이, LCD설비 구조조정 `속도`"
삼성디스플레이,2019-09-03,2019-09-04,5,4,"구조조정,희망퇴직","삼성디스플레이, 인력 감축 착수 5년차 이상 희망퇴직"
삼성디스플레이,2020-04-20,2020-04-20,1,1,구조조정,"LCD 구조조정에 뒤숭숭한 삼성디스플레이 ""우리는 어디로 가나"""
삼성디스플레이,2020-05-25,2020-05-26,3,3,"구조조정,희망퇴직","삼성디스플레이, LCD 사업 철수 앞두고 희망퇴직 받아"
삼성디스플레이,2020-11-17,2020-11-17,1,1,"인력감축,희망퇴직",삼성디스플레이도 희망퇴직 진행...“대규모 인력감축 아냐”
삼성물산,2014-04-03,2014-04-03,1,1,구조조정,"[특징주]삼성물산, 잇단 계열사 구조조정에 강세"
삼성물산,2015-06-28,2015-06-28,1,1,구조조정,구조조정 없다지만 직원들도 ‘구경’ 중인 삼성물산 합병
삼성물산,2015-08-19,2015-08-19,1,1,구조조정,"삼성물산, 1년새 6% 감원..통합후 구조조정 본격화"
삼성물산,2015-10-16,2015-10-16,1,1,희망퇴직,"삼성물산, 통합 후 첫 희망퇴직 실시"
삼성물산,2016-01-18,2016-01-18,1,1,"구조조정,희망퇴직",'희망퇴직에 유급휴직까지' 삼성물산 구조조정 '술렁'
삼성물산,2016-03-31,2016-03-31,1,1,구조조정,"삼성물산, 작년 한해 900여명 퇴사..건설부문 중심 구조조정"
삼성물산,2016-06-19,2016-07-05,12,11,"구조조정,희망퇴직","삼성물산, 건설부문 대리급 이상 희망퇴직"
삼성물산,2016-10-17,2016-11-07,2,2,구조조정,삼성물산 패션부문 구조조정에 ‘멘붕’ 빠진 직원들 남성복 `엠비오` 여성 액세서리 `라베노바` 사업 접기로
삼성물산,2016-12-19,2016-12-19,1,1,구조조정,"삼성물산 VS LF, 구조조정 결과 희비"
삼성물산,2020-02-11,2020-02-11,1,1,구조조정,"삼성물산, 구조조정에 주가 상승 기반 마련-교보"
삼성생명,2010-06-14,2010-06-15,6,4,"구조조정,희망퇴직","삼성생명, 희망퇴직 받는다"
삼성생명,2012-11-07,2012-11-07,1,1,인력감축,"삼성생명, 불황에도 인력감축 없다..삼성화재ㆍ카드는?"
삼성생명,2013-08-15,2013-08-15,1,1,구조조정,"삼성생명, 전속 설계사 줄인다 450명 구조조정"
삼성생명,2014-04-09,2014-04-19,4,4,"구조조정,희망퇴직","삼성생명, 임원 희망퇴직 통보  감원 본격화"
삼성에버랜드,2010-10-15,2010-10-15,8,6,"구조조정,인력감축,희망퇴직","삼성에버랜드, 희망퇴직 통해 구조조정"
삼성엔지니어링,2013-07-22,2013-07-22,1,1,구조조정,"[특징주]삼성엔지니어링, 구조조정 소식에 반등"
삼성전기,2015-05-14,2015-06-02,2,2,구조조정,"삼성전기, 사업 구조조정 검토 중 “확정된 것 없어”"
삼성전기,2015-07-15,2015-07-15,1,1,구조조정,"삼성전기, 구조조정 통해 수익성 개선될 것 -한국투자證"
삼성전기,2015-11-19,2015-11-19,1,1,구조조정,"삼성전기, 사업 구조조정 내년 신성장 이끈다-대신"
삼성전기,2016-04-12,2016-04-13,3,2,희망퇴직,"삼성전기, 오늘부터 전 직원 대상 희망퇴직 접수"
삼성전기,2016-06-12,2016-06-12,1,1,구조조정,"[단독] 삼성전기, 또 인력 구조조정 착수"
삼성전기-디스플레이,2014-07-15,2014-07-15,1,1,구조조정,"삼성전기-디스플레이, 인력 구조조정 검토"
삼성전자,2011-12-21,2011-12-21,1,1,구조조정,"삼성전자, 사업 구조조정 가속화"
삼성전자,2015-09-08,2015-09-08,1,1,구조조정,"삼성전자, 구조조정 통해 인력 10% 줄이기로 주요 대상은?"
삼성전자,2016-04-28,2016-04-28,1,1,구조조정,"삼성전자, 1분기 '서프라이즈' 이재용식 선제적 구조조정 주효"
삼성전자,2017-09-15,2017-09-15,1,1,구조조정,"삼성전자, 美 전장업체 하만 구조조정"
삼성전자,2019-03-18,2019-03-18,1,1,구조조정,"삼성전자, 中 스마트폰 기업 구조조정에 점유율 반등"
삼성전자,2019-06-05,2019-06-05,1,1,구조조정,"삼성전자, 中 마지막 스마트폰 공장서도 생산직 구조조정 시작"
삼성전자,2019-07-09,2019-07-09,1,1,구조조정,"삼성전자, 中 스마트폰 사업 부진..일부 지역본부 통합 등 구조개편 [전세계 구조조정 바람]"
삼성전자,2019-11-05,2019-11-05,1,1,구조조정,"삼성전자, 中 조직개편 스마트폰 부문 구조조정 유력"
삼성전자,2026-04-11,2026-04-11,1,1,구조조정,"삼성전자, 中사업 구조조정 시작하나 ""반도체 분야 집중"" 전망"
삼성정밀화학,2011-12-12,2011-12-12,1,1,구조조정,"삼성정밀화학, 美 태양광업체 구조조정 '반사익'-우리"
삼성정밀화학,2014-02-27,2014-02-27,3,2,"구조조정,희망퇴직","삼성정밀화학 울산공장, 40명 규모 희망퇴직 실시"
삼성정밀화학,2014-04-23,2014-04-23,1,1,구조조정,"삼성정밀화학, 고강도 사업재편 그룹 구조조정 일환?"
삼성정밀화학,2015-03-24,2015-03-24,1,1,구조조정,"[퀀트분석]삼성정밀화학, 구조조정 효과 등 주가 모멘텀↑ ‘종합점수 88점’"
삼성정밀화학,2016-02-29,2016-02-29,1,1,구조조정,"삼성정밀화학, 혹독한 구조조정 끝.. 롯데와 시너지만 남았다-하이투자"
삼성중,2015-08-16,2015-08-16,1,1,구조조정,"삼성중, 구조조정 추진 `숨고르기`"
삼성중,2016-06-16,2016-06-16,1,1,희망퇴직,"삼성중, 전임원 사표 1500여 명 희망퇴직"
삼성중공업,2012-12-05,2012-12-05,1,1,구조조정,"삼성중공업, 건설부문 구조조정 한다"
삼성중공업,2015-09-02,2015-09-02,1,1,구조조정,"삼성중공업, 30% 임원감축 고강도 구조조정"
삼성중공업,2016-05-17,2016-07-19,15,14,"구조조정,인력감축,희망퇴직","삼성중공업, 산업은행에 자구안 제출 삼성계열사 중 17년 만에 첫 구조조정"
삼성중공업,2017-01-26,2017-01-26,1,1,구조조정,"삼성중공업, 구조조정 비용 부담, 충당금 반영 등으로 작년 영업적자 지속"
삼성중공업,2018-11-30,2018-12-03,3,3,희망퇴직,"삼성중공업, 올해 첫 집중 희망퇴직 실시"
삼성중공업,2019-11-22,2019-11-22,1,1,희망퇴직,"삼성중공업, 올해도 희망퇴직 실시"
삼성중공업,2021-01-14,2021-01-14,1,1,희망퇴직,상시 희망퇴직 삼성중공업 유급휴직 시행
삼성중공업-대우조선해양,2016-05-16,2016-05-16,1,1,구조조정,"삼성중공업-대우조선해양, “추가 구조조정 어쩌나”"
삼성증권,2012-01-31,2012-02-01,5,5,구조조정,"삼성증권, 홍콩법인 구조조정 돌입"
삼성증권,2014-04-10,2014-04-30,18,10,"구조조정,희망퇴직","삼성증권, 11일 대규모 구조조정 발표할 듯"
삼성증권,2014-06-24,2014-06-24,1,1,구조조정,"[모닝터치R] 삼성증권, 구조조정 효과 가시화 자사주 매입 가능성으로 투자포인트 많아 - KDB대우증권"
삼성증권,2014-08-18,2014-08-18,1,1,구조조정,"[모닝터치R] 삼성증권, 구조조정 마무리..수익성 개전 전망 - 동양증권"
삼성증권,2014-11-18,2014-12-09,2,2,구조조정,"삼성증권, 구조조정 이후 실적 정상화[현대證]"
삼성증권,2015-02-17,2015-02-17,1,1,구조조정,"삼성증권, ‘에이블씨엔씨 구조조정 효과 목표가 상향’"
삼성카드,2012-11-15,2012-11-16,5,5,"구조조정,희망퇴직",삼성카드도 올해 희망퇴직 받는다
삼성카드,2015-12-21,2015-12-21,2,1,희망퇴직,삼성카드에 이어 신한카드도 2년만에 희망퇴직
삼성카드,2019-01-28,2019-01-28,1,1,구조조정,"삼성카드, 가계부채 구조조정에 불확실성 투자의견 하향-키움"
삼성테크윈,2011-04-04,2011-04-04,1,1,구조조정,"삼성테크윈, 카메라모듈 구조조정 반영..목표가↓<대신證>"
삼성화재,2010-11-08,2010-11-09,2,1,희망퇴직,"삼성증권ㆍ삼성화재, 부장급 100명 희망퇴직 실시"
삼성화재,2012-11-14,2012-11-16,13,7,희망퇴직,"삼성화재, 희망퇴직 실시"
삼성화재,2017-11-01,2017-11-01,1,1,구조조정,"삼성화재, 미국사업 구조조정"
삼양그룹,2025-12-04,2025-12-04,1,1,희망퇴직,"[단독] 삼양그룹, 희망퇴직 단행 “조직문화 개편 차원”"
삼양사,2015-03-23,2015-03-30,12,9,구조조정,"[fn특징주]삼양사, 그룹 구조조정 수혜 분석에 '上'"
삼양홀딩스,2015-12-14,2015-12-14,1,1,구조조정,"삼양홀딩스, 화학 자회사 구조조정 시 주가 할증 기대-유안타"
삼일PwC,2013-02-08,2013-02-08,1,1,구조조정,"[더벨]삼일PwC, 대규모 구조조정 계획 최소 100명"
삼일PwC,2025-08-28,2025-08-28,1,1,구조조정,"삼일PwC, '일본 석유화학 구조조정 사례와 시사점' 보고서 발간"
삼일회계,2010-03-02,2010-03-02,1,1,구조조정,"[단독] 삼일회계, 본격 구조조정 하나"
삼화고속,2012-09-10,2012-09-10,1,1,구조조정,"삼화고속, 사측 구조조정 반발 '경고파업'"
삼화저축은행,2011-01-14,2011-01-15,2,2,구조조정,"저축은행 구조조정 칼바람/ 삼화저축은행은 40년 역사, 2006년 골프단 창단까지"
삼환기업,2012-07-09,2012-07-09,2,2,구조조정,"[특징주]삼환기업, 구조조정 대상 우려에 하한가"
삼환까뮤,2012-07-09,2012-07-09,1,1,구조조정,"삼환까뮤, 구조조정 대상등급 분류 조회공시"
상조업계,2019-04-25,2019-04-25,1,1,구조조정,"상조업계, 구조조정 칼바람 업체수 100곳 아래로"
새마을금고연합회장,2010-03-15,2010-03-15,1,1,구조조정,"새마을금고연합회장, 금고 지속적으로 구조조정"
새마을금고중앙회,2015-05-06,2015-05-06,1,1,구조조정,"새마을금고중앙회, 부실금고 구조조정 구멍 '뻥'"
새마을금고중앙회,2016-07-05,2016-07-05,1,1,구조조정,"새마을금고중앙회, 무리한 구조조정 도마에"
새정부,2017-05-15,2017-05-15,1,1,구조조정,"새정부, 조선 등 산업 구조조정 컨트롤타워 만든다"
샌드박스,2024-03-25,2024-03-25,1,1,구조조정,"[쫌아는기자들] 샌드박스, 구조조정 1년 만에 분기 흑자전환... “초인 창업자가 아니라도 괜찮아”"
서연탑메탈,2019-02-22,2019-02-22,1,1,구조조정,"서연탑메탈, 중국 자회사 정리 “적자사업 구조조정 차원”"
서울교통공사,2021-06-08,2021-06-08,1,1,구조조정,"서울교통공사, '코로나19 여파'에 1500명 감축 구조조정 공식화"
서울반도체,2016-02-03,2016-02-03,2,2,구조조정,"서울반도체, LED 산업 구조조정 속 소폭 성장-KTB"
서울반도체,2016-04-26,2016-04-26,3,3,구조조정,"서울반도체, 산업 구조조정 수혜입을 것-미래에셋대우"
서울반도체,2017-01-04,2017-02-03,3,3,구조조정,[머니몬스터] LED 산업 구조조정 수혜 '서울반도체'
서울반도체,2019-09-20,2019-09-20,1,1,구조조정,"[리포트 브리핑]서울반도체, '업계 구조조정의 정점을 지나는 중 ' 목표가 20,000원 - 하이투자증권"
서울반도체,2020-07-30,2020-07-30,1,1,구조조정,"[리포트 브리핑]서울반도체, '서서히 나타나는 산업 구조조정 효과' 목표가 20,000원 - 삼성증권"
서울식품공업,2026-06-17,2026-06-17,3,3,구조조정,"서울식품공업, 구조조정 마무리 흑자전환 시동"
서울아산병원,2024-04-08,2024-04-08,2,2,희망퇴직,"서울아산병원, '빅5' 중 첫 희망퇴직 추진...의사는 제외"
서울저축은행,2013-02-15,2013-02-15,1,1,구조조정,"서울저축은행, 영남저축은행 계약이전 방식 구조조정 결정"
서울중앙지법-UAMCO,2016-06-22,2016-06-22,1,1,구조조정,"서울중앙지법-UAMCO, 회생기업 구조조정 지원 업무협약 체결"
서흥캅셀,2011-10-21,2011-10-21,1,1,구조조정,"[특징주]서흥캅셀, 세계1위 업체 구조조정 반사익..강세"
석공,2011-06-01,2011-06-01,1,1,구조조정,"석공, 구조조정 단행... 인력 15% 조기 퇴직"
석유,2017-03-07,2017-03-07,1,1,구조조정,"석유, 광물공사 구조조정 규모 더욱 확대"
선원들,2016-05-03,2016-05-03,1,1,"구조조정,인력감축","선원들, 해운업 구조조정 인력감축 반발"
선창산업,2020-01-21,2020-01-21,1,1,구조조정,"선창산업, 노후공장 생산 중단 등 고강도 구조조정 실시"
성동산업,2012-07-06,2012-07-06,2,1,구조조정,삼환기업 성동산업 36社 구조조정 대상에
성동조선,2017-06-05,2017-06-05,1,1,구조조정,"성동조선, 문재인정부 구조조정 시험대"
성동조선,2018-05-24,2018-05-25,2,1,구조조정,"[위기의 중형조선사] 성동조선, 인력 3분의 2 구조조정 추진"
성동조선,2018-09-03,2018-09-03,1,1,구조조정,"성동조선, 구조조정 없이 정상화 시동"
성장금융,2018-08-26,2018-08-26,1,1,구조조정,"성장금융, 1조 펀드 조성 모험자본이 선제 구조조정 주도"
성장률,2012-12-09,2012-12-10,2,1,구조조정,"[김상조의 경제시평]성장률, 구조조정, 그리고 세금"
세븐일레븐,2024-10-15,2024-10-16,12,12,희망퇴직,"세븐일레븐, 창사 첫 희망퇴직  ""중장기적 성장 위한 체질개선"""
세븐일레븐,2025-10-14,2025-10-14,7,7,희망퇴직,"세븐일레븐, 2년 연속 희망퇴직 실시 “수익 중심 경영 박차”"
세아제강,2015-05-13,2015-05-13,1,1,구조조정,"세아제강, 사고 팔고 사업 구조조정"
세아특수강,2016-12-14,2016-12-14,1,1,구조조정,"[퀀트분석] 세아특수강, 美 인프라 투자 확대ㆍ中 구조조정 가격 인상 ‘종합점수 94점’"
세일즈포스,2023-01-04,2023-01-04,1,1,구조조정,"세일즈포스, 인력 10% 감축 등 구조조정 발표"
세진중공업,2016-09-06,2016-09-06,2,2,구조조정,"[특징주]세진중공업, 조선업 구조조정 수혜 기대 7%↑"
셀시우스,2022-06-27,2022-06-27,1,1,구조조정,"셀시우스, 파산 대비 구조조정 전문가 고용"
소비자심리,2016-05-26,2016-05-26,1,1,구조조정,"소비자심리, 조선 해운 산업 구조조정에 다시 비관적으로"
손절매,2016-06-23,2016-06-23,1,1,구조조정,"[다산칼럼] 손절매, 구조조정의 한 원칙"
솔로몬저축은행,2012-04-26,2012-05-03,2,2,구조조정,"[특징주]솔로몬저축은행, 저축銀 구조조정 생환 기대감(?) ↑"
송원산업,2013-06-14,2013-06-14,1,1,구조조정,"[퀀트분석]송원산업, 글로벌 산화방지제 업계 구조조정 수혜 종합점수 ‘74점’"
수출,2010-01-05,2010-01-05,1,1,구조조정,"[시론/정갑영]수출, 지금이 구조조정 적기"
쉘라인,2011-10-26,2011-10-26,2,2,구조조정,"쉘라인, 스마트폰 부품에 주력 인력 구조조정 완료"
슈넬생명과학,2013-12-05,2013-12-05,2,2,구조조정,"슈넬생명과학, 화성공장 증설 및 구조조정 완료"
스리랑카,2024-11-29,2024-11-29,1,1,구조조정,"[월드 e-브리핑] 스리랑카, IMF 부채 구조조정 계획 발표"
스코넥,2026-02-09,2026-02-09,1,1,구조조정,"스코넥, 구조조정 효과 본격화 재무 안정성 기반 자금조달 추진"
스탠다드차타드,2011-10-06,2011-10-06,1,1,구조조정,"[단독]스탠다드차타드, 한국서 대대적 구조조정 예고"
스탠다드차타드,2015-01-08,2015-01-08,1,1,구조조정,"스탠다드차타드, 주식영업부문 철수 한국도 구조조정 대상"
스텔란티스,2023-11-14,2023-11-14,1,1,구조조정,"스텔란티스, 美 사무직 절반 내보낸다 올해 두번째 구조조정"
스텔란티스,2024-07-31,2024-07-31,1,1,희망퇴직,"스텔란티스, 실적 부진에 희망퇴직 칼바람"
승화프리텍,2014-08-26,2014-08-26,1,1,구조조정,"[더벨]승화프리텍, 구조조정 + 신규사업 모색 '회사 안정화'"
시노펙스,2016-02-26,2016-02-26,1,1,구조조정,"시노펙스, 구조조정 끝냈다 1분기 본격 턴어라운"
시노펙스,2016-05-16,2016-05-16,1,1,구조조정,"[더벨]시노펙스, 1Q 흑자전환...지난해 구조조정 효과 반영"
시노펙스그린테크,2010-11-04,2010-11-04,1,1,구조조정,"시노펙스그린테크, 신규사업 및 사업부 구조조정 검토 중"
시노펙스그린테크,2011-01-03,2011-01-03,1,1,구조조정,"시노펙스그린테크, ""계열사 합병과 사업부문의 구조조정 검토"""
시멘트업종,2012-04-02,2012-04-02,1,1,구조조정,"시멘트업종, 구조조정 지연과 역성장 리스크 여전[삼성증권]"
시스코시스템즈,2022-11-18,2022-11-18,1,1,구조조정,"시스코시스템즈, 호실적 속 구조조정 드라이브...투자자 ‘환호’ (영상)"
시티그룹,2023-11-21,2023-11-21,1,1,구조조정,"시티그룹, 고위직 300여명 해고 고강도 구조조정"
시티은행,2021-11-11,2021-11-11,1,1,희망퇴직,"""7억 줄때 나간다"" 희망퇴직 러시 난감해진 시티은행의 묘책"
시프트업,2023-07-21,2023-07-21,1,1,희망퇴직,"시프트업, '데차' 개발팀 희망퇴직 당일통보 논란에 ""사실무근"""
식비,2016-06-28,2016-06-28,1,1,구조조정,"식비, 인건비  구조조정 조선 해운, 직원 복지도 ‘쥐어짜기’"
신라면세점,2025-04-28,2025-04-28,1,1,희망퇴직,"신라면세점, 희망퇴직 단행...근속 5년 이상 직원 대상"
신보-기업은행,2025-08-14,2025-08-14,1,1,구조조정,"신보-기업은행, 부실징후 기업 조기 발굴하고 사전 구조조정 나선다"
신세계,2018-02-01,2018-02-01,1,1,구조조정,"[단독]신세계, 아동복 '톰키드' 정리..인력 조직 구조조정 신호탄?(종합)"
신세계,2025-02-06,2025-02-06,1,1,구조조정,"신세계, 주주환원 확대와 구조조정 효과 실적 개선 전망-NH"
신세계면세점,2024-11-15,2024-11-16,9,9,희망퇴직,"'비상경영' 신세계면세점, 창사 첫 희망퇴직"
신세계인터,2020-09-14,2020-09-14,1,1,구조조정,"신세계인터, 패션업 불황 속 국내외 브랜드 구조조정 '속도전'"
신세계인터내셔날,2021-12-14,2021-12-14,3,3,구조조정,"[리포트 브리핑]신세계인터내셔날, '국내 패션 사업부 구조조정 속에 해외 브랜드 사업 호조' 목표가 230,000원 - 대신증권"
신용위험평가,2026-01-01,2026-01-01,1,1,구조조정,"신용위험평가, 25년만에 개편 사전 구조조정 속도낸다"
신한금융투자,2011-05-24,2011-05-24,1,1,구조조정,"[IB대상]신한금융투자, 구조조정 기업 M&A 모범 제시"
신한금융투자,2013-12-10,2013-12-11,7,6,희망퇴직,"신한금융투자, 직원 희망퇴직 실시 검토"
신한금융투자,2014-03-25,2014-03-25,1,1,구조조정,"신한금융투자, “조선업종, 업계 선제적 구조조정 노력+정책당국 협조 동반되야"""
신한금투,2016-05-31,2016-05-31,1,1,구조조정,"신한금투, '한진중공업' 구조조정 속 생존 경쟁력 확보 중 목표주가↑"
신한금투,2021-05-11,2021-05-11,1,1,희망퇴직,"신한금투, 구조개혁 위한 희망퇴직 나서"
신한생명,2014-08-22,2014-08-22,1,1,희망퇴직,"신한생명, 희망퇴직 단행 전직원 3%선"
신한생명,2016-12-12,2016-12-12,1,1,희망퇴직,"신한생명, 2년만에 희망퇴직 실시..보험업계도 감원 바람"
신한생명,2018-12-14,2018-12-14,8,8,희망퇴직,"신한생명, 2년 만에 희망퇴직 단행 ""위로금은 업계 최대 42개월분"""
신한은행,2014-01-12,2014-01-13,4,4,희망퇴직,"신한은행, 15일까지 부지점장급 이상 희망퇴직 접수"
신한은행,2015-01-16,2015-01-21,4,3,희망퇴직,"신한은행, 희망퇴직 신청자 310명 작년보다 2배 많아"
신한은행,2015-09-07,2015-09-07,1,1,희망퇴직,"신한은행, ‘차등형 임금피크제’ 도입 비자발적 희망퇴직 중단"
신한은행,2016-01-08,2016-01-21,4,3,희망퇴직,"신한은행, 올해 은행권 첫 희망퇴직 실시"
신한은행,2017-01-06,2017-01-07,3,3,희망퇴직,"신한은행, 부지점장급 이상 직원 대상 희망퇴직 실시"
신한은행,2017-12-30,2018-01-23,6,5,희망퇴직,"신한은행, 임금피크-15년차 이상 대상 희망퇴직 실시 최대 36개월치 지급"
신한은행,2019-01-04,2019-01-15,8,7,희망퇴직,"신한은행, 희망퇴직 접수 최대 36개월치 월급 지급"
신한은행,2020-01-03,2020-01-03,2,2,희망퇴직,"신한은행, 새해 첫 희망퇴직 실시 21~36개월치 특별퇴직금 지급"
신한은행,2021-06-10,2021-06-17,14,13,"구조조정,희망퇴직","신한은행, 50세 이상 직원 희망퇴직 실시"
신한은행,2021-07-26,2021-07-26,1,1,구조조정,"신한은행, 적금 이어 기업대출도 구조조정"
신한은행,2022-01-03,2022-01-03,1,1,희망퇴직,"신한은행, 희망퇴직 실시 최대 36개월치 임금 지급"
신한은행,2023-01-02,2023-01-02,3,3,희망퇴직,"신한은행, 만 44세부터 희망퇴직 접수 연초 시중은행 감원 바람"
신한은행,2023-12-15,2023-12-15,3,3,희망퇴직,"신한은행, 올해 두 번째 희망퇴직 접수 퇴직금은 줄었다"
신한은행,2024-12-12,2024-12-12,9,9,희망퇴직,"신한은행, 1986년생부터 희망퇴직 실시"
신한은행,2025-12-12,2025-12-12,9,9,희망퇴직,"신한은행, 희망퇴직 접수 85년생도 대상"
신한지주,2010-06-09,2010-06-09,1,1,구조조정,"신한지주, 건설사 구조조정 영향 적고 IFRS 수혜 예상"
신한지주,2016-05-25,2016-05-25,1,1,구조조정,"""신한지주, 대기업 구조조정 영향 제한적일 것""-미래에셋대우"
신한카드,2013-11-11,2013-12-05,10,7,"구조조정,희망퇴직","신한카드, 3년만에 첫 희망퇴직 실시 검토"
신한카드,2015-12-21,2015-12-24,17,11,희망퇴직,"신한카드, 23일까지 희망퇴직 받는다"
신한카드,2018-01-08,2018-01-08,6,6,희망퇴직,"신한카드, 희망퇴직 실시...KB국민도 검토"
신한카드,2020-01-08,2020-01-08,1,1,희망퇴직,"​신한카드, 희망퇴직 실시 “현 상황 극복 위한 불가피한 선택”"
신한카드,2022-01-11,2022-01-11,1,1,희망퇴직,"신한카드, 희망퇴직 단행 최대 35개월치 임금 지급"
신한카드,2023-01-11,2023-01-11,1,1,희망퇴직,"신한카드, 희망퇴직 실시 근속 15년차 이상 대상"
신한카드,2025-02-06,2025-02-06,1,1,희망퇴직,"신한카드, 희망퇴직 비용에 발목 작년 순이익 7.8% 줄었다"
신한카드,2025-06-04,2025-07-08,10,8,"구조조정,희망퇴직","신한카드, 반년 만에 또 희망퇴직"
신한카드,2025-10-28,2025-10-28,1,1,희망퇴직,"신한카드, 3분기 당기순이익 1338억 희망퇴직 영향으로 감소"
신한카드,2026-01-26,2026-01-26,7,7,희망퇴직,"신한카드, 실적 악화에 '흔들' 1년여만에 3번째 희망퇴직"
신한카드,2026-04-23,2026-04-23,1,1,희망퇴직,"신한카드 1분기 순이익, 전년比 14.9%↓ 희망퇴직 등 영향"
신한투자,2013-12-10,2013-12-10,1,1,희망퇴직,"신한투자, 희망퇴직 받는다 전직원 대상 노사협상중"
신화인터텍,2012-03-20,2012-03-20,1,1,구조조정,"신화인터텍, 구조조정 효과에 영업익↑...매수-유진투자證"
신화인터텍,2012-07-20,2012-07-20,1,1,구조조정,"신화인터텍, 구조조정 효과로 수익성 대폭 개선"
쌍용건설,2012-09-15,2012-09-26,9,8,구조조정,"쌍용건설, 구조조정 압박에 신입사원 공채 진행 중단"
