회사명,이벤트시작일,이벤트종료일(마지막보도),기사수,언론사수,키워드종류,대표제목
대우조선,2019-01-31,2019-02-18,5,5,"구조조정,인력감축","대우조선해양 20년만에 새 주인 찾나? 산은 ""인위적 구조조정 No"""
대우조선,2021-01-10,2021-01-13,3,3,희망퇴직,"대우조선, 1975년 이전 출생자 대상 희망퇴직"
대우조선,2022-01-14,2022-01-14,1,1,구조조정,현대중 대우조선 합병 무산 “조선업 구조조정 물거품”
대우조선,2022-07-27,2022-07-27,1,1,구조조정,"[2022 아투 산업포럼] 김용기 아주대 교수 ""대우조선, 재무중심적 구조조정 심각 경쟁력 확보가 먼저"""
대우조선,2022-09-26,2022-09-26,1,1,구조조정,공적자금 12조원 ‘세금먹는 하마’ 대우조선 정리 윤정부 구조조정 신호탄
대우조선해양,2013-07-16,2013-07-16,1,1,구조조정,"대우조선해양, 계열사 구조조정 착수"
대우조선해양,2015-07-15,2015-09-01,9,5,구조조정,"대우조선해양, 워크아웃 가나 채권단, 구조조정 검토"
대우조선해양,2015-10-19,2015-10-19,1,1,구조조정,"대우조선해양, 부장급 300~400명 구조조정"
대우조선해양,2016-05-20,2016-05-20,1,1,인력감축,"대우조선해양, 채권단에 인력감축 등 추가 자구안 제출"
대우조선해양,2016-10-05,2016-11-01,7,5,희망퇴직,"대우조선해양, 10년차 이상 1000여명 희망퇴직 실시"
대우조선해양,2016-12-02,2016-12-02,3,3,희망퇴직,"대우조선해양, 30대 직원도 희망퇴직"
대우조선해양,2017-01-23,2017-02-05,2,2,구조조정,"대우조선해양, 구조조정 드라이브 ""올해 자구계획 2조5000억 원 이행"""
대우조선해양,2017-04-04,2017-04-18,3,3,구조조정,"대우조선해양, 구조조정 방안 발표 후 첫 수주"
대우조선해양,2017-11-09,2017-11-09,1,1,구조조정,"대우조선해양, 조선업 구조조정 일단락 신호 ‘매수’-한국"
