Code,ISU_CD,Name,Market,Dept,MarketId,Close,Marcap,Stocks,source
278990,KR7278990007,EMB,KONEX,일반기업부,KNX,2400,19355464800,8064777,FinanceDataReader.StockListing(KRX)
112190,KR7112190004,KC산업,KONEX,일반기업부,KNX,1235,33598037915,27204889,FinanceDataReader.StockListing(KRX)
260870,KR7260870001,SK시그넷,KONEX,일반기업부,KNX,6900,149555754300,21674747,FinanceDataReader.StockListing(KRX)
296520,KR7296520000,가이아코퍼레이션,KONEX,일반기업부,KNX,602,2809538816,4667008,FinanceDataReader.StockListing(KRX)
086220,KR7086220001,광동헬스바이오,KONEX,일반기업부,KNX,1000,12687865000,12687865,FinanceDataReader.StockListing(KRX)
244880,KR7244880001,나눔테크,KONEX,일반기업부,KNX,1778,8925560000,5020000,FinanceDataReader.StockListing(KRX)
317860,KR7317860005,노드메이슨,KONEX,일반기업부,KNX,4190,18910370850,4513215,FinanceDataReader.StockListing(KRX)
229500,KR7229500004,노브메타파마,KONEX,일반기업부,KNX,7430,95412746220,12841554,FinanceDataReader.StockListing(KRX)
178600,KR7178600003,대동고려삼,KONEX,일반기업부,KNX,1770,7875792000,4449600,FinanceDataReader.StockListing(KRX)
114920,KR7114920002,대주이엔티,KONEX,일반기업부,KNX,3150,10928925000,3469500,FinanceDataReader.StockListing(KRX)
302920,KR7302920004,더콘텐츠온,KONEX,일반기업부,KNX,500,2276179500,4552359,FinanceDataReader.StockListing(KRX)
199150,KR7199150004,데이터스트림즈,KONEX,일반기업부,KNX,1900,8110364700,4268613,FinanceDataReader.StockListing(KRX)
227420,KR7227420007,도부,KONEX,일반기업부,KNX,670,25489821700,38044510,FinanceDataReader.StockListing(KRX)
403360,KR7403360001,라피치,KONEX,일반기업부,KNX,7200,25817882400,3585817,FinanceDataReader.StockListing(KRX)
092590,KR7092590009,럭스피아,KONEX,일반기업부,KNX,680,4957946640,7291098,FinanceDataReader.StockListing(KRX)
266170,KR7266170000,레드우즈,KONEX,일반기업부,KNX,1050,1366092000,1301040,FinanceDataReader.StockListing(KRX)
223220,KR7223220005,로지스몬,KONEX,일반기업부,KNX,399,2275464681,5702919,FinanceDataReader.StockListing(KRX)
162120,KR7162120000,루켄테크놀러지스,KONEX,일반기업부,KNX,3190,35589560380,11156602,FinanceDataReader.StockListing(KRX)
253610,KR7253610000,루트락,KONEX,일반기업부,KNX,1098,11263361958,10258071,FinanceDataReader.StockListing(KRX)
448780,KR7448780007,마이크로엔엑스,KONEX,일반기업부,KNX,813,2176953840,2677680,FinanceDataReader.StockListing(KRX)
179720,KR7179720008,머니무브,KONEX,일반기업부,KNX,8000,22000144000,2750018,FinanceDataReader.StockListing(KRX)
200580,KR7200580009,메디쎄이,KONEX,일반기업부,KNX,11800,43967732200,3726079,FinanceDataReader.StockListing(KRX)
233250,KR7233250000,메디안디노스틱,KONEX,일반기업부,KNX,7800,13622965200,1746534,FinanceDataReader.StockListing(KRX)
236340,KR7236340006,메디젠휴먼케어,KONEX,일반기업부,KNX,2000,6029294000,3014647,FinanceDataReader.StockListing(KRX)
322970,KR7322970005,무진메디,KONEX,일반기업부,KNX,1900,19162809100,10085689,FinanceDataReader.StockListing(KRX)
208890,KR7208890004,미래엔에듀파트너,KONEX,일반기업부,KNX,900,3604968000,4005520,FinanceDataReader.StockListing(KRX)
351020,KR7351020003,미쥬,KONEX,일반기업부,KNX,6990,14504250000,2075000,FinanceDataReader.StockListing(KRX)
354390,KR7354390007,바스칸바이오제약,KONEX,일반기업부,KNX,3200,22458390400,7018247,FinanceDataReader.StockListing(KRX)
266470,KR7266470004,바이오인프라생명과학,KONEX,일반기업부,KNX,100,2786601900,27866019,FinanceDataReader.StockListing(KRX)
289170,KR7289170003,바이오텐,KONEX,일반기업부,KNX,3200,11445404800,3576689,FinanceDataReader.StockListing(KRX)
199290,KR7199290008,바이오프로테크,KONEX,일반기업부,KNX,400,6530076800,16325192,FinanceDataReader.StockListing(KRX)
496320,KR7496320003,본시스템즈,KONEX,일반기업부,KNX,1023000,1039340379000,1015973,FinanceDataReader.StockListing(KRX)
206950,KR7206950008,볼빅,KONEX,일반기업부,KNX,1490,20975124850,14077265,FinanceDataReader.StockListing(KRX)
191600,KR7191600006,블루탑,KONEX,일반기업부,KNX,10430,29818619040,2858928,FinanceDataReader.StockListing(KRX)
267080,KR7267080000,세븐브로이맥주,KONEX,일반기업부,KNX,486,5769504288,11871408,FinanceDataReader.StockListing(KRX)
238500,KR7238500003,솔루믹스,KONEX,일반기업부,KNX,475,9883469400,20807304,FinanceDataReader.StockListing(KRX)
185190,KR7185190006,수프로,KONEX,일반기업부,KNX,996,9201670500,9238625,FinanceDataReader.StockListing(KRX)
217320,KR7217320001,썬테크,KONEX,일반기업부,KNX,13000,13650000000,1050000,FinanceDataReader.StockListing(KRX)
236030,KR7236030003,씨알푸드,KONEX,일반기업부,KNX,2500,5083330000,2033332,FinanceDataReader.StockListing(KRX)
103660,KR7103660007,씨앗,KONEX,일반기업부,KNX,1799,10825430329,6017471,FinanceDataReader.StockListing(KRX)
245450,KR7245450002,씨앤에스링크,KONEX,일반기업부,KNX,1599,2526356040,1579960,FinanceDataReader.StockListing(KRX)
403810,KR7403810005,아이엘로보틱스,KONEX,일반기업부,KNX,2290,22756522340,9937346,FinanceDataReader.StockListing(KRX)
456570,KR7456570001,아이엠지티,KONEX,일반기업부,KNX,10510,55333090040,5264804,FinanceDataReader.StockListing(KRX)
447690,KR7447690009,아이오바이오,KONEX,일반기업부,KNX,2550,7070527800,2772756,FinanceDataReader.StockListing(KRX)
149010,KR7149010001,아이케이세미콘,KONEX,일반기업부,KNX,3270,10202400000,3120000,FinanceDataReader.StockListing(KRX)
243870,KR7243870003,아이티센코어,KONEX,일반기업부,KNX,8200,23719574200,2892631,FinanceDataReader.StockListing(KRX)
102950,KR7102950003,아하,KONEX,일반기업부,KNX,1673,21952943719,13121903,FinanceDataReader.StockListing(KRX)
251280,KR7251280004,안지오랩,KONEX,일반기업부,KNX,1800,6285366000,3491870,FinanceDataReader.StockListing(KRX)
390110,KR7390110005,애니메디솔루션,KONEX,일반기업부,KNX,196,1900621212,9697047,FinanceDataReader.StockListing(KRX)
224810,KR7224810002,엄지하우스,KONEX,일반기업부,KNX,1196,5023200000,4200000,FinanceDataReader.StockListing(KRX)
270210,KR7270210008,에스알바이오텍,KONEX,일반기업부,KNX,13960,23891814080,1711448,FinanceDataReader.StockListing(KRX)
217910,KR7217910009,에스제이켐,KONEX,일반기업부,KNX,272,3805421984,13990522,FinanceDataReader.StockListing(KRX)
0070X0,KR70070X0000,에스테크엠,KONEX,일반기업부,KNX,9600,14496000000,1510000,FinanceDataReader.StockListing(KRX)
234070,KR7234070001,에이원큐브텍,KONEX,일반기업부,KNX,927,6452571681,6960703,FinanceDataReader.StockListing(KRX)
207490,KR7207490004,에이펙스인텍,KONEX,일반기업부,KNX,6600,23760000000,3600000,FinanceDataReader.StockListing(KRX)
446440,KR7446440000,에피바이오텍,KONEX,일반기업부,KNX,12760,29435776040,2306879,FinanceDataReader.StockListing(KRX)
059180,KR7059180000,엔더블유시,KONEX,일반기업부,KNX,4465,23727411850,5314090,FinanceDataReader.StockListing(KRX)
140610,KR7140610007,엔솔바이오사이언스,KONEX,일반기업부,KNX,13090,181807965570,13889073,FinanceDataReader.StockListing(KRX)
