Code,Name,Market,SecuGroup,ListingDate,DelistingDate,Reason,Industry,ToSymbol,ToName,source
271400,알로이스,KONEX,주권,2017-07-07,2019-10-01,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
267810,앙츠,KONEX,주권,2017-04-28,2023-04-04,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.21 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
158300,에스에이티이엔지,KONEX,주권,2013-07-01,2021-12-09,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
258540,에스엘테라퓨틱스,KONEX,주권,2016-11-29,2025-05-07,감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
252940,에스엠로보틱스,KONEX,주권,2016-09-30,2018-04-25,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
299670,에스엠비나,KONEX,주권,2018-06-25,2024-08-16,지정자문인 선임계약 해지 후 30일 이내 미체결(2024.8.1 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
251540,에스와이제이,KONEX,주권,2017-05-02,2018-09-07,감사의견 거절(감사범위 제한),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
224020,에스케이씨에스,KONEX,주권,2016-07-25,2024-03-29,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
495900,에이엠시지,KONEX,주권,2024-12-13,2026-01-27,상장폐지 신청,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
103650,에이치앤아이,KONEX,주권,2013-12-26,2016-07-14,최종부도 발생,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
238170,엔에스엠,KONEX,주권,2019-12-26,2026-03-26,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
262760,엔케이맥스,KONEX,주권,2018-08-09,2019-07-04,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
225860,엠앤씨생명과학,KONEX,주권,2017-04-25,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
251960,엠에프엠코리아,KONEX,주권,2016-09-08,2020-12-30,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
242850,영현무역,KONEX,주권,2016-05-20,2019-05-22,지정자문인 선임계약 해지 후 30일 이내 미체결(2019.5.8 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
329020,오션스톤,KONEX,주권,2020-05-07,2022-12-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2022.12.13 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
278380,원바이오젠,KONEX,주권,2019-06-03,2021-02-09,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
216280,원텍,KONEX,주권,2015-04-29,2022-06-30,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
160350,웹솔루스,KONEX,주권,2013-07-01,2015-04-30,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
091270,유디피,KONEX,주권,2014-12-12,2018-04-18,지정자문인 선임계약 해지 후 30일이내 미체결(2018.04.04限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
252370,유쎌,KONEX,주권,2016-09-29,2020-02-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2020.2.13 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
419700,이브이파킹서비스,KONEX,주권,2023-07-05,2024-12-12,지정자문인 선임계약 해지 후 30일 이내 미체결('24.11.28限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
270020,이십일스토어,KONEX,주권,2017-09-08,2022-04-14,사업보고서 법정제출기한('22.3.31限) 내 미제출,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
341310,이앤에치,KONEX,주권,2019-12-27,2026-02-24,지정자문인 선임계약 해지 후 30일 이내 미체결('26.2.5限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
241510,이에스산업,KONEX,주권,2016-04-26,2021-01-26,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.1.13 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
185280,이푸른,KONEX,주권,2013-11-12,2016-12-05,지정자문인 선임계약 해지 후 30일이내 미체결(2016.11.21限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
062580,인산가,KONEX,주권,2015-12-21,2018-09-11,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
240340,인터코스,KONEX,주권,2016-04-21,2022-05-17,외부감사인의 감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
247300,인프라웨어테크놀러지,KONEX,주권,2016-07-08,2019-12-06,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
230400,자비스,KONEX,주권,2015-11-17,2019-11-15,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
120780,전우정밀,KONEX,주권,2016-12-23,2021-05-06,분산요건 미달,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
224090,정다운,KONEX,주권,2015-07-31,2016-06-29,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
250300,제이에스피브이,KONEX,주권,2016-08-10,2019-03-04,지정자문인 선임계약 해지 후 30일이내 미체결(2019.2.1 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
248020,젬,KONEX,주권,2021-10-22,2024-04-05,외부감사인의 감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
221670,주노콜렉션,KONEX,주권,2017-06-27,2019-07-16, 지정자문인 선임계약 해지 후 30일 이내 미체결(2019.7.2 限) ,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
229480,줌인터넷,KONEX,주권,2016-06-10,2019-06-10,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
138290,지성이씨에스,KONEX,주권,2015-11-30,2018-08-22,상장폐지 신청('18.7.19),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
289860,지슨,KONEX,주권,2023-01-26,2025-08-14,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
368030,창대정밀,KONEX,주권,2024-12-23,2026-05-14,감사의견 한정(감사범위 제한),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
140290,청광건설,KONEX,주권,2013-12-20,2023-05-08,상장폐지 신청,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
220250,카이노스메드,KONEX,주권,2015-09-10,2020-06-08,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
446600,카이바이오텍,KONEX,주권,2022-12-23,2025-02-25,지정자문인 선임계약 해지 후 30일 이내 미체결('25.2.11限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
